Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.IntegerSummer,integer:summer,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,none,none,comp533.sum.IntSummingMapper,int:summing:mapper,@IntSummingMapperClass,int:summing:mapper:class,IntSummingMapper,int:summing:mapper
comp533.IntegerSummer,integer:summer,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,none,none,comp533.factory.MapperFactory,mapper:factory,@MapperFactory,mapper:factory,setMapper,set:mapper
comp533.IntegerSummer,integer:summer,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,none,none,comp533.mvc.ModelImpl,model:impl,@ModelClass,model:class,ModelImpl,model:impl
comp533.IntegerSummer,integer:summer,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,none,none,comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,ControllerImpl,controller:impl
comp533.IntegerSummer,integer:summer,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,none,none,comp533.mvc.ViewImpl,view:impl,@ViewClass,view:class,ViewImpl,view:impl
comp533.IntegerSummer,integer:summer,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,none,none,comp533.mvc.Model,model,@ModelClass,model:class,addPropertyChangeListener,add:property:change:listener
comp533.IntegerSummer,integer:summer,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,none,none,comp533.mvc.Controller,controller,@ControllerClass,controller:class,initSlaveThreads,slave:threads
comp533.IntegerSummer,integer:summer,@StandAloneIntegerSummer,stand:alone:integer:summer,main,main,none,none,comp533.mvc.Controller,controller,@ControllerClass,controller:class,getUserInput,get:user:input
comp533.MapReduceConfigurationImpl,map:reduce:configuration:impl,MapReduceConfigurationImpl,map:reduce:configuration:impl,getTokenCountingMapper,get:token:counting:mapper,MapReduceConfiguration,map:reduce:configuration,comp533.factory.MapperFactory,mapper:factory,@MapperFactory,mapper:factory,getMapper,get:mapper
comp533.MapReduceConfigurationImpl,map:reduce:configuration:impl,MapReduceConfigurationImpl,map:reduce:configuration:impl,getIntSummingMapper,get:int:summing:mapper,MapReduceConfiguration,map:reduce:configuration,comp533.sum.IntSummingMapper,int:summing:mapper,@IntSummingMapperClass,int:summing:mapper:class,getInstance,get:instance
comp533.MapReduceConfigurationImpl,map:reduce:configuration:impl,MapReduceConfigurationImpl,map:reduce:configuration:impl,getReducer,get:reducer,MapReduceConfiguration,map:reduce:configuration,comp533.factory.ReducerFactory,reducer:factory,@ReducerFactory,reducer:factory,getReducer,get:reducer
comp533.MapReduceConfigurationImpl,map:reduce:configuration:impl,MapReduceConfigurationImpl,map:reduce:configuration:impl,getPartitioner,get:partitioner,MapReduceConfiguration,map:reduce:configuration,comp533.factory.PartitionerFactory,partitioner:factory,@PartitionerFactory,partitioner:factory,getPartitioner,get:partitioner
comp533.MapReduceConfigurationImpl,map:reduce:configuration:impl,MapReduceConfigurationImpl,map:reduce:configuration:impl,getBarrier,get:barrier,MapReduceConfiguration,map:reduce:configuration,comp533.factory.BarrierImpl,barrier:impl,@BarrierClass,barrier:class,BarrierImpl,barrier:impl
comp533.MapReduceConfigurationImpl,map:reduce:configuration:impl,MapReduceConfigurationImpl,map:reduce:configuration:impl,getJoiner,get:joiner,MapReduceConfiguration,map:reduce:configuration,comp533.factory.JoinerImpl,joiner:impl,@JoinerClass,joiner:class,JoinerImpl,joiner:impl
comp533.factory.JoinerImpl,joiner:impl,@JoinerClass,joiner:class,finished,finished,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceJoinerFinishedTask,trace:joiner:finished:task
comp533.factory.JoinerImpl,joiner:impl,@JoinerClass,joiner:class,finished,finished,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,java.lang.Object,object,java.lang.Object,object,notify,notify
comp533.factory.JoinerImpl,joiner:impl,@JoinerClass,joiner:class,finished,finished,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceJoinerRelease,trace:joiner:release
comp533.factory.JoinerImpl,joiner:impl,@JoinerClass,joiner:class,join,join,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceJoinerWaitStart,trace:joiner:wait:start
comp533.factory.JoinerImpl,joiner:impl,@JoinerClass,joiner:class,join,join,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,java.lang.Object,object,java.lang.Object,object,wait,wait
comp533.factory.JoinerImpl,joiner:impl,@JoinerClass,joiner:class,join,join,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceJoinerWaitEnd,trace:joiner:wait:end
comp533.RunA2Tests,run:a:tests,RunA2Tests,run:a:tests,main,main,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
comp533.RunA2Tests,run:a:tests,RunA2Tests,run:a:tests,main,main,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
comp533.RunA2Tests,run:a:tests,RunA2Tests,run:a:tests,main,main,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxPrintedTraces,set:max:printed:traces
comp533.RunA2Tests,run:a:tests,RunA2Tests,run:a:tests,main,main,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxTraces,set:max:traces
comp533.RunA2Tests,run:a:tests,RunA2Tests,run:a:tests,main,main,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,grader.basics.execution.BasicProjectExecution,basic:project:execution,grader.basics.execution.BasicProjectExecution,basic:project:execution,setProcessTimeOut,set:process:time:out
comp533.RunA2Tests,run:a:tests,RunA2Tests,run:a:tests,main,main,MapReduceConfiguration:AMapReduceTracer:@JoinerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class,gradingTools.comp533s24.assignment2.S24Assignment2Suite,assignment:suite,gradingTools.comp533s24.assignment2.S24Assignment2Suite,assignment:suite,main,main
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,getUserInput,get:user:input,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceNumbersPrompt,trace:numbers:prompt
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,getUserInput,get:user:input,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,java.util.Scanner,scanner,java.util.Scanner,scanner,nextLine,next:line
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,getUserInput,get:user:input,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,String,string,java.lang.String,string,equals,equals
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,getUserInput,get:user:input,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,comp533.mvc.Model,model,@ModelClass,model:class,terminate,terminate
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,getUserInput,get:user:input,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,comp533.mvc.Model,model,@ModelClass,model:class,setInputString,set:input:string
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,getUserInput,get:user:input,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,java.util.Scanner,scanner,java.util.Scanner,scanner,close,close
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,getUserInput,get:user:input,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceQuit,trace:quit
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,initSlaveThreads,slave:threads,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceThreadPrompt,trace:thread:prompt
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,initSlaveThreads,slave:threads,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,initSlaveThreads,slave:threads,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,java.util.Scanner,scanner,java.util.Scanner,scanner,nextLine,next:line
